Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,01:33:46,6.31,78.30,0.49,27.34,1001.93,17.80,1954.61,94.68,963,189,29,2,1,0,3,4,5,16.67,4.63
1/1/2000 Sat.,01:33:47,6.28,106.10,0.67,27.37,1001.93,17.80,1941.82,94.68,963,189,29,2,1,0,3,4,5,16.67,4.63
1/1/2000 Sat.,01:33:48,6.32,85.40,0.54,27.34,1001.93,17.79,1930.59,94.68,984,191,33,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:49,6.31,77.60,0.49,27.35,1001.93,17.79,1948.91,94.84,984,191,33,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:50,6.28,106.10,0.67,27.37,1001.91,17.79,1933.38,94.84,984,191,33,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:51,6.32,86.40,0.55,27.34,1001.91,17.77,1920.86,94.84,951,178,33,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:51,6.31,78.10,0.49,27.35,1001.91,17.79,1912.61,94.84,951,178,33,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:52,6.28,105.50,0.66,27.37,1001.91,17.78,1905.78,94.84,951,178,33,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:53,6.31,76.80,0.48,27.34,1001.93,17.76,1899.00,94.84,933,184,34,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:54,6.31,87.60,0.55,27.35,1001.91,17.77,1903.06,94.84,933,184,34,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:55,6.27,99.30,0.62,27.37,1001.91,17.76,1888.26,94.84,933,184,34,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:56,6.30,88.10,0.56,27.34,1001.91,17.75,1884.26,94.84,939,181,32,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:57,6.32,86.80,0.55,27.34,1001.91,17.76,1847.75,94.84,939,181,32,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:57,6.27,100.20,0.63,27.36,1001.91,17.77,1863.22,94.84,939,181,32,1,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:58,6.32,88.40,0.56,27.33,1001.93,17.76,1832.53,94.84,945,185,31,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:59,6.30,85.30,0.54,27.34,1001.91,17.76,1827.52,94.84,945,185,31,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:00,6.29,106.90,0.67,27.36,1001.91,17.77,1825.02,94.84,945,185,31,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:01,6.31,77.80,0.49,27.34,1001.93,17.75,1813.86,94.84,960,190,29,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:02,6.30,86.30,0.54,27.35,1001.91,17.75,1797.98,94.84,960,190,29,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:03,6.27,96.50,0.61,27.37,1001.91,17.76,1802.84,94.68,960,190,29,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:04,6.32,84.10,0.53,27.34,1001.93,17.75,1777.63,94.84,954,185,27,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:04,6.32,87.60,0.55,27.35,1001.91,17.75,1768.21,94.84,954,185,27,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:05,6.27,95.20,0.60,27.37,1001.89,17.75,1767.04,95.01,954,185,27,0,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:34:06,6.31,87.10,0.55,27.35,1001.91,17.75,1755.42,94.84,1047,225,38,1,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:34:07,6.32,88.00,0.56,27.36,1001.91,17.75,1757.73,94.84,1047,225,38,1,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:34:08,6.27,105.30,0.66,27.38,1001.91,17.75,1747.38,94.84,1047,225,38,1,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:34:09,6.32,86.80,0.55,27.35,1001.91,17.75,1748.53,94.84,1077,231,38,1,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:34:10,6.31,82.80,0.52,27.36,1001.91,17.76,1748.53,94.84,1077,231,38,1,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:34:10,6.28,106.10,0.67,27.39,1001.91,17.75,1741.68,94.84,1077,231,38,1,0,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:34:11,6.30,77.50,0.49,27.36,1001.91,17.75,1736.02,94.84,1077,233,38,2,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:34:12,6.32,85.50,0.54,27.37,1001.91,17.75,1733.77,94.84,1077,233,38,2,0,0,4,7,7,29.17,6.48
